Division,Placement,Skipper,Team,Total Score
B,1,Alyce Flanagan '13,University of Washington,17
B,2,Sam Parish '15,University of Washington,17
B,3,Brian Hickman '15,Oregon State University,22
B,4,Casey Pruitt '13,Western Washington University,28
B,5,Angela Gossom '13,Western Washington University,42
B,6,Robin Gropp '16,Lewis and Clark College,44
B,7,Ryan Fritsen '14,University of Oregon,52
B,8,Aike Burger '16,Oregon State University,53
B,9,John Hodges '13,Northwestern University,59
B,10,Brianne Busey '14,Portland State University,61
B,11,Kaili Swetland '14,University of Oregon,76
B,12,none,California State University Monterey Bay,111
