Division,Placement,Skipper,Team,Total Score
B,1,Nicholas Chong '13,Texas A&M University at Galveston,5
B,2,Matt Lenz '13,University of Texas,8
B,3,Sam Webb '14,Oklahoma State University,9
B,4,Megan Woodring '14,Texas A&M University,18
B,5,Katherine Biancardi '15,Texas A&M University,21
B,6,Casey Crossland '13,University of North Texas,21
B,7,Susan Herndon '15,Tulane University,22
B,8,Ryan Murphy '15,Texas A&M University at Galveston,22
B,9,Matthew Fox '15,University of Central Oklahoma,24
B,10,Evan Korchnak '15,University of Oklahoma,27
B,11,Douglas Modling '16,University of South Alabama,28
B,12,Evan Kollath '15,Tulane University,42
B,13,Mary Melton '15,Oklahoma City University,51
