Division,Placement,Skipper,Team,Total Score
B,1,Paul Perry '15,University of South Florida,17
B,2,Giancarlo Falconi '16,University of Miami,20
B,3,Bradford Cederberg '15,Eckerd College,33
B,4,Nicholas Odegard '16,U. S. Coast Guard Academy,35
B,5,Daniel Moore '12,Jacksonville University,52
B,6,Joseph Geller '16,Embry-Riddle University,57
B,7,Daniel Schulman '14,University of Florida,67
B,8,Kevin Hendrickson '15,University of South Florida,87
B,9,John Sutton '16,Florida State University,91
B,10,Calvin Troutt '15,New College of Florida,93
