Division,Placement,Skipper,Team,Total Score
B,1,Chandler Salisbury '13,Dartmouth College,40
B,2,Melany Johnson '15,Eckerd College,40
B,3,Christina Lewis '16,University of Rhode Island,42
B,4,Jennifer Borshoff '15,Cornell University,47
B,5,Johanna Kincaid '15,Brown University,54
B,6,Amanda Taselaar '14,Georgetown University,58
B,7,Lauren Cefali '15,U. S. Coast Guard Academy,64
B,8,Annie Schmidt '14,Roger Williams University,66
B,9,Brooke Lyon '14,Hobart and William Smith Colleges,72
B,10,Mariel Marchand '13,Tufts University,75
B,11,Colleen Hartman '13,University of South Florida,82
B,12,Hanne Nagatani '13,University of Hawaii,83
B,13,Andrea Luna '15,Old Dominion University,90
B,14,Liz Dubovik '15,Connecticut College,97
B,15,Francesca Cappellini '16,Santa Clara University,101
B,16,Leslie Poole '16,University of Wisconsin,111
B,17,Ellen Dubois '14,University of Michigan,114
B,18,Angela Gossom '13,Western Washington University,132
