Division,Placement,Skipper,Team,Total Score
A,1,William Haeger '14,Tufts University,53
A,2,Kevin Laube '14,Stanford University,82
A,3,Brian Drumm '15,Harvard University,103
A,4,Christopher Segerblom '14,Yale University,109
A,5,Judge Ryan '14,Brown University,122
A,6,Maarten Eenkema Van Dijk '14,Northeastern University,122
A,7,David Alfonso '14,Massachusetts Institute of Technology,124
A,8,Ryan Bailey '15,Washington College,128
A,9,Kevin Martland '14,Connecticut College,130
A,10,Ian Liberty '14,St. Mary's College of Maryland,131
A,11,Connor Corgard '16,Roger Williams University,131
A,12,Cameron Fraser '14,Boston University,133
A,13,Tony Collins '15,Eckerd College,140
A,14,Michael Booker '15,University of Vermont,146
A,15,Christopher Price '14,Dartmouth College,148
A,16,Griffin Orr '15,University of Buffalo,161
A,17,John Silvestri '16,Salve Regina University,179
