Division,Placement,Skipper,Team,Total Score
B,1,Conor Lodge '14,Northeastern University,18
B,2,Timothy Harding '15,Brown University,20
B,3,Kate Levinson '15,Tufts University,22
B,4,Peter Bailey '15,Brown University,29
B,5,Alexander Giordano '15,Connecticut College,31
B,6,Rebecca Quirke '17,Connecticut College,35
B,7,Samuel Morley '14,University of Rhode Island,35
B,8,Sam Gates '17,Tufts University,40
B,9,Connor Bair-Cucchiaro '15,Bates College,46
B,10,Henry Lewis '16,Yale University,67
B,11,George Luber '17,Massachusetts Maritime Academy,68
B,12,Shane Baker '17,University of Connecticut,70
B,13,Matthew Miranda '17,Salve Regina University,73
B,14,Mark Sinks '17,Middlebury College,77
