Division,Placement,Skipper,Team,Total Score
A,1,Cameron Hutcheson '14,University of Southern California,5
A,2,Nicolas Delfino '16,University of California at San Diego,8
A,3,Cobi Allen '16,University of California at Santa Barbara,22
A,4,Samuel Heller '15,University of California at Irvine,23
A,5,Mark Ryan '15,California State University Long Beach,25
A,6,John Olson '14,University of California at San Diego,33
A,7,David Cornella '17,Cal Poly University S.L.O.,34
A,8,Kendall Sanson '15,University of Southern California,36
A,9,Gregory Coumes '17,University of California at Santa Barbara,42
A,10,Erica Parker '14,University of California at Los Angeles,42
A,11,Sunny Scarbrough '17,California State University Long Beach,43
A,12,Spenser Branch '14,Arizona State University,43
A,13,Evan Kort '15 *,University of Southern California,48
A,14,Jeffrey Tedmori '15,California State University Channel Islands,54
A,15,Kate Andersen '15,University of California at Irvine,57
A,16,Calum Finlayson '17,University of California at San Diego,64
A,17,Lucas Ryder '16,University of California at Santa Barbara,68
A,18,Jiachao Yang '15,University of California at San Diego,74
A,19,Robert Loughnan '15,University of California at Los Angeles,75
A,20,James Heller '15,University of California at Irvine,75
A,21,Peter Carle '16,Cal Poly University S.L.O.,79
A,22,John Beutter '17,University of California at Los Angeles,83
A,23,David Luu '17,University of California at San Diego,83
A,24,David Luu '17,University of California at San Diego,88
