Division,Placement,Skipper,Team,Total Score
B,1,John Hill '13,California State University Long Beach,15
B,2,Samuel Heller '15,University of California at Irvine,29
B,3,Remy Margerum '17,University of California at Santa Barbara,30
B,4,Grant Rickon '16,University of California at Santa Barbara,38
B,5,John Coakley '16,University of Southern California,44
B,6,Joseph McArdle '14,University of California at San Diego,46
B,7,John Olson '14,University of California at San Diego,55
B,8,David Cornella '17,Cal Poly University S.L.O.,58
B,9,Olivia Gebelein '15,University of Southern California,61
B,10,Elizabeth Hays '17,University of California at Los Angeles,65
B,11,Nils-Erik Rundquist '17,University of California at San Diego,79
B,12,Hollis Barth '16,University of Southern California,81
B,13,Anthony Helm '15,University of California at Santa Barbara,95
B,14,Danielle Sams '16,University of California at San Diego,102
B,15,Kyle Clarke '15,California State University Channel Islands,110
B,16,Kimberly Alcorn '15,University of California at Los Angeles,111
B,17,Jonathan Mintz '15,Cal Poly University S.L.O.,112
B,18,Conor McGee '17,Arizona State University,118
B,19,Alex Sinclair '16,University of California at San Diego,125
B,20,Ellen Suder '16,University of California at Irvine,131
B,21,Jason Barr '17,University of California at San Diego,137
B,22,Daniel Diaz '15,University of California at Irvine,146
B,23,Kevin Chao '14,University of California at Los Angeles,148
B,24,No show,California State University Long Beach,175
