Division,Placement,Skipper,Team,Total Score
B,1,Ryan Bailey '15,Washington College,39
B,2,Austin Powers '17,Christopher Newport University,39
B,3,Ethan Lounsbury '17,Old Dominion University,43
B,4,Christopher Craven '16,University of Virginia,46
B,5,Jonathan Lutz '17,St. Mary's College of Maryland,47
B,6,Charles Skord '17,U. S. Merchant Marine Academy,58
B,7,Erik Brydges '14,Eckerd College,59
B,8,Giuditta Di Laghi '16,Hampton University,63
B,9,Ian Ikeda '17,Jacksonville University,69
B,10,Dean Nixon '16,University of South Florida,97
B,11,Rory Mess '16,University of Buffalo,99
B,12,Jela-Ni McCarthy '16,Hampton University,122
B,13,Alex Heid '15,Villanova University,130
B,14,Matthew Dockstader '17,North Carolina State University,137
