Division,Placement,Skipper,Team,Total Score
A,1,Colby Vickerson '17,Bentley University,28
A,2,Nicholas Dragone '14,Middlebury College,35
A,3,Michael Rottier '15,University of Connecticut,35
A,4,Zach Shapiro '15,Northeastern University,37
A,5,Lewis Fowler-Gerace '15,Wesleyan University,46
A,6,Edward Moan '14,Bates College,61
A,7,Emily Casella '17,Massachusetts Maritime Academy,66
A,8,William Dykes '15,University of New Hampshire,68
A,9,John Zupkud '16,Colleges of the Fenway,80
A,10,Brian Reilly '16,Sacred Heart University,92
