Division,Placement,Skipper,Team,Total Score
A,1,John Roberts '17,Clemson University,8
A,2,John Reddaway '15,Georgia Institute of Technology,15
A,3,Nicole Hause '14,College of Charleston,20
A,4,Jeffrey Pyles '14,University of North Carolina at Wilmington,24
A,5,Benton Morton '14,North Carolina State University,25
A,6,Matthew Weber '15,University of Georgia,31
A,7,Alexander Katsis '16,Duke University,34
A,8,Jared Chrysostom '15,The Citadel,42
A,9,Meredith Rutledge '16,Clemson University,42
A,10,Brent DeAngelis '16,Auburn University,45
A,11,Nichole Palen '14,North Carolina State University,45
A,12,Patrick Kopiwoda '15,University of Tennessee,52
