Division,Placement,Skipper,Team,Total Score
B,1,John Hill '13,California State University Long Beach,12
B,2,Tyler Webb '15,California State University Long Beach,15
B,3,Gregory Coumes '17,University of California at Santa Barbara,18
B,4,Joseph Schiff '17,University of California at Santa Barbara,19
B,5,John Coakley '16,University of Southern California,34
B,6,John Olson '14,University of California at San Diego,34
B,7,Nicholas Weis '15,University of California at Irvine,36
B,8,Kendall Sanson '15,University of Southern California,41
B,9,Remy Margerum '17,University of California at Santa Barbara,44
B,10,Elizabeth Hays '17,University of California at Los Angeles,45
B,11,Tyler Wooldridge '14,University of California at San Diego,62
B,12,Andreas Balslev '17,Cal Poly University S.L.O.,62
B,13,Joseph McArdle '14,University of California at San Diego,64
B,14,Brandon Yuen '14,University of Southern California,74
B,15,Kyle McManus '15,Arizona State University,74
B,16,Greg Kushnir '18,Cal Poly University S.L.O.,75
B,17,Anthony Helm '15,University of California at Santa Barbara,75
B,18,Kyle Clarke '15,California State University Channel Islands,82
B,19,Ellen Suder '16,University of California at Irvine,88
B,20,John Beutter '17,University of California at Los Angeles,99
B,21,Mathew Anderson '17,Westmont College,102
