Division,Placement,Skipper,Team,Total Score
A,1,Gregory Dair '15,California State University Channel Islands,13
A,2,Matthew Hecht '16,University of Southern California,23
A,3,Joseph Schiff '17,University of California at Santa Barbara,28
A,4,Kendall Sanson '15,University of Southern California,45
A,5,Brian MacLean '18,University of California at Irvine,50
A,6,Grace Carrick '18,Cal Poly University S.L.O.,54
A,7,Tyler Webb '15,California State University Long Beach,56
A,8,Peter Wong '18,University of Southern California,56
A,9,Elizabeth Hays '17,University of California at Los Angeles,71
A,10,Nicolas Delfino '16,University of California at San Diego,77
A,11,Kevin Leddy '17,University of California at Santa Barbara,78
A,12,Henry Keenan '18,University of California at Berkeley,105
A,13,Joseph Lausten '17,Cal Poly University S.L.O.,105
A,14,Saul Rosen '15,University of California at Berkeley,109
A,15,Dylan Rinker '16,Cal Poly University S.L.O.,114
A,16,Daniel Diaz '15,University of California at Irvine,126
A,17,Shannon Frick '16,University of California at San Diego,133
A,18,Addison Whittet '16,University of California at Irvine,134
A,19,Bleiz Larzul '18,University of California at Los Angeles,144
