Division,Placement,Skipper,Team,Total Score
B,1,Janel DeCurtis '18,Roger Williams University,6
B,2,Charles Welsh '18,Salve Regina University,6
B,3,James Beatty '17,Tufts University,6
B,4,Peter Kerby-Miller '17,Middlebury College,7
B,5,Adam Brodheim '16,Harvard University,7
B,6,Judas Taylor '18,University of New Hampshire,12
B,7,Donal Ryan '19,Northeastern University,13
B,8,Benjamin Eley '18,Wentworth Institute of Technology,15
B,9,Nathaniel Douglass '18,Maine Maritime Academy,19
B,10,Ian Martin '18,University of Rhode Island,21
B,11,Katie Medeiros '15,University of Massachusetts at Dartmouth,21
