Division,Placement,Skipper,Team,Total Score
A,1,Megan Yeigh '16,University of Vermont,59
A,2,Marly Isler '16,Yale University,77
A,3,Nancy Hagood '14,Georgetown University,79
A,4,Eliot Caple '18,College of Charleston,84
A,5,Marissa Golison '16,St. Mary's College of Maryland,91
A,6,Sophie Bermudez '16,Harvard University,95
A,7,Melany Johnson '15,Eckerd College,97
A,8,Dominique Wright '15,University of South Florida,103
A,9,Andrea Luna '15,Old Dominion University,110
A,10,Sarah Mackey '16,College of Charleston,111
A,11,Hannah Hughes '17,U. S. Naval Academy,126
A,12,Maria Sinagra '16,George Washington University,129
A,13,Allison Price '16,Jacksonville University,140
A,14,Katherine Kristoffersen '15,North Carolina State University,189
