Division,Placement,Skipper,Team,Total Score
A,1,Raul Rios '16,Boston College,80
A,2,William Macdonald '15,Roger Williams University,88
A,3,Lucas Adams '15,Brown University,90
A,4,Graham Landy '15,Yale University,94
A,5,Avery Fanning '16,U. S. Coast Guard Academy,94
A,6,Connor Astwood '16,Boston University,100
A,7,Alejandro Ruiz-Ramon '15,Tufts University,116
A,8,Deirdre Lambert '15,Dartmouth College,124
A,9,Michael Zonnenberg '15,University of Vermont,134
A,10,Jack McGuire '17,Bowdoin College,139
A,11,Brian Drumm '15,Harvard University,141
A,12,Alexander Stewart '17,Massachusetts Institute of Technology,143
A,13,Scott Goodrich '16,Northeastern University,172
A,14,Caleb Armstrong '16,University of Rhode Island,172
A,15,Bryce Kopp '16,Connecticut College,186
A,16,John Silvestri '16,Salve Regina University,224
A,17,Peter Sterflinger '17,Johnson and Wales University,224
A,18,Terry Duncan '15,Middlebury College,239
