Division,Placement,Skipper,Team,Total Score
B,1,Johanna Kincaid '15,Brown University,91
B,2,Rosalind Lesh '16,Massachusetts Institute of Technology,97
B,3,Carolyn Smith '17,St. Mary's College of Maryland,99
B,4,Casey Klingler '18,Yale University,102
B,5,Quinn Howes '16,Cornell University,115
B,6,Devon Rohde '15,U. S. Coast Guard Academy,126
B,7,Charlotte List '18,Connecticut College,131
B,8,Hannah Lynn '17,Boston College,139
B,9,Sarah Streater '18,Old Dominion University,142
B,10,Margaret Kilvert '18,Dartmouth College,146
B,11,Madison Gates '18,University of South Florida,147
B,12,Kate Levinson '15,Tufts University,148
B,13,Kate Klement '17,University of Wisconsin,149
B,14,Mackenzie Needham '15,University of Rhode Island,172
B,15,Courtney Koos '16,Bowdoin College,173
B,16,Lindsay Doyle '18,University of Vermont,228
B,17,Francesca Dana '18,Santa Clara University,248
B,18,Olivia Kjorlien '17,Harvard University,303
