Division,Placement,Skipper,Team,Total Score
A,1,Antoine Screve '16,Stanford University,43
A,2,Gregory Dair '15,California State University Channel Islands,53
A,3,Mark Ryan '15,California State University Long Beach,78
A,4,Joseph Schiff '17,University of California at Santa Barbara,80
A,5,Cobi Allen '16,University of California at Santa Barbara,110
A,6,Sterling Henken '18,University of California at Santa Barbara,111
A,7,Kristopher Swanson '18,University of California at Santa Barbara,114
A,8,John Coakley '16,University of Southern California,129
A,9,Nicolas Delfino '16,University of California at San Diego,132
A,10,Sunny Scarbrough '17,California State University Long Beach,132
A,11,Tyler Webb '15,California State University Long Beach,138
A,12,Julia Lambert '18,Stanford University,141
A,13,Olivia Godfrey '17,University of California at Santa Barbara,157
A,14,Jennifer Hays '17,University of California at Berkeley,170
A,15,Kendall Sanson '15,University of Southern California,170
A,16,Alexander Smith '18,Arizona State University,188
A,17,Brian MacLean '18,University of California at Irvine,197
