Division,Placement,Skipper,Team,Total Score
A,1,No show,North Carolina State University,13
A,2,Curtis Woodworth '17,Florida State University,16
A,3,Laura Smit '17 *,College of Charleston,21
A,4,Nicholas Pardini '16,Syracuse University,21
A,5,Allyson Plessner '17 *,College of Charleston,30
A,6,Kara Wheeler '18,North Carolina State University,39
A,7,No show,North Carolina State University,47
A,8,Elliot Greenwald '16,Syracuse University,47
A,9,Paulina Spencer '16,North Carolina State University,51
A,10,Rachel Weitman '16,Salisbury University,53
A,11,Ryan Welch '16,Davidson College,61
A,12,Shawn Majzlik '17,Auburn University,70
