Division,Placement,Skipper,Team,Total Score
B,1,Charles Welsh '18,Salve Regina University,40
B,2,Giacomo Paoletti '15,University of Hawaii,57
B,3,Shannon Killian '16,Salve Regina University,74
B,4,Ayaka Nemoto '15 *,Hosei University,75
B,5,Peter Wong '18,University of Southern California,76
B,6,Alexandria Ivory '18,University of California at Santa Barbara,92
B,7,Mackenzie Cook '17,University of Hawaii,107
B,8,Kyra Oakes '18,University of California at Berkeley,107
B,9,Jeffrey Tedmori '15,California State University Channel Islands,109
B,10,Caitlin Schadt '18,University of Hawaii,118
B,11,Olivia Gebelein '15,University of Southern California,132
B,12,Eric Witte '17,University of California at Berkeley,139
B,13,Tyler Caroe '15,California State University Long Beach,162
B,14,Hannah Thielcke '15,University of British Columbia,182
