Division,Placement,Skipper,Team,Total Score
B,1,Lindsey Baab '18,Brown University,43
B,2,Molly Pleskus '18,Tufts University,55
B,3,Marly Isler '16,Yale University,57
B,4,Lizzy Hamilton '15,Bowdoin College,66
B,5,Janel DeCurtis '18,Roger Williams University,80
B,6,Sarah Hermus '18,University of Rhode Island,81
B,7,Elise Gehling '17,Northeastern University,81
B,8,Lindsay Doyle '18,University of Vermont,89
B,9,Lydia Grasberger '18,Boston University,89
B,10,Miranda Bakos '18,George Washington University,90
B,11,Fiona Walsh '17,Boston College,103
B,12,Gillian Boehringer '18,Cornell University,118
B,13,Christina Wettersten '15,Massachusetts Institute of Technology,142
B,14,Jessica Kurlander '18,SUNY Stony Brook,166
