Division,Placement,Skipper,Team,Total Score
A,1,Ryan Murphy '15,Texas A&M University at Galveston,8
A,2,Dylan Marohn '16,Texas A&M University at Galveston,11
A,3,Ellen Nielsen '15,University of Texas,14
A,4,William Cragin '15,University of Texas,18
A,5,Alexander Judd '16,University of Texas,22
A,6,Owen Sanford '18,Loyola University of New Orleans,24
A,7,Benjamin Moreno '16,Texas A&M University at Corpus Christi,26
A,8,Sean Fischer '18,Oklahoma State University,33
A,9,Mitchell Selby '15,Loyola University of New Orleans,36
A,10,Mikasa Barnes '17,University of Central Oklahoma,38
A,11,Max Abouchar '16 *,Southern Methodist University,39
A,12,Emilio Alverio '12,University of Kansas,43
