Division,Placement,Skipper,Team,Total Score
B,1,Edwin Strong '15,Clemson University,9
B,2,John Lindahl '15,University of Tennessee,10
B,3,John Sipp '18,Duke University,10
B,4,Joshua Kim '17,Georgia Institute of Technology,11
B,5,Elijah Jones '18,North Carolina State University,11
B,6,Andres Menendez '17,Georgia Institute of Technology,20
B,7,Matthew Art '18,University of Tennessee,22
B,8,Jack Gonzales '18,University of South Carolina,22
B,9,Erica Trotter '17,University of Georgia,22
B,10,Shawn Majzlik '17,Auburn University,28
