Division,Placement,Skipper,Team,Total Score
B,1,Peter Girard '18,University of Rhode Island,19
B,2,Frederick Finkenauer '17,University of Vermont,30
B,3,Lydia Grasberger '18,Boston University,35
B,4,Peter Christensen '18,Northeastern University,42
B,5,Aaron Klein '18,Tufts University,53
B,6,Henry Lewis '16,Yale University,55
B,7,Mara Terchunian '16,Salve Regina University,66
B,8,Alexander Calderwood '18,Massachusetts Maritime Academy,70
B,9,Nathaniel Barton '18,Wesleyan University,79
B,10,Patricia Hoban '17,Providence College,81
B,11,Colby Jennings '15,Sacred Heart University,88
B,12,Kelsey Laforest '17,Fairfield University,98
B,13,Kimberly Jackman '16,University of Connecticut,105
