Division,Placement,Skipper,Team,Total Score
B,1,Marissa Golison '16,St. Mary's College of Maryland,60
B,2,Katia DaSilva '15,Georgetown University,60
B,3,Casey Klingler '18,Yale University,62
B,4,Maeve White '17,Stanford University,89
B,5,Elizabeth Pemberton '18,College of Charleston,94
B,6,Courtney Koos '16,Bowdoin College,96
B,7,Emilia Clementi '18,Connecticut College,101
B,8,Kelly McGlynn '15,Brown University,123
B,9,Miranda Bakos '18,George Washington University,135
B,10,Devon Rohde '15,U. S. Coast Guard Academy,137
B,11,Margaret Kilvert '18,Dartmouth College,154
B,12,Johanna Monro '16,Fordham University,168
B,13,Hannah Lynn '17,Boston College,172
B,14,Sarah Streater '18,Old Dominion University,176
B,15,Quinn Howes '16,Cornell University,177
B,16,Anna Huebschmann '18,Eckerd College,196
B,17,Mackenzie Needham '15,University of Rhode Island,201
B,18,Caitlin Schadt '18,University of Hawaii,253
