Division,Placement,Skipper,Team,Total Score
B,1,Samuel Cushing '15,University of Rhode Island,24
B,2,Sean Beaulieu '18,Salve Regina University,25
B,3,Henry Dumke '17,Boston College,33
B,4,Sarah De Silva '19,Northeastern University,35
B,5,Janel DeCurtis '18,Roger Williams University,37
B,6,Alexander Vasiliou '18,Bowdoin College,40
B,7,Bradley Brown '15,U. S. Coast Guard Academy,41
B,8,Kate Levinson '15,Tufts University,45
B,9,Katharina (KB) Knapp '18,Yale University,47
B,10,Molly Pleskus '18,Tufts University,49
B,11,Amina Brown '17,University of Vermont,53
B,12,Lindsey Baab '18,Brown University,53
B,13,Lindsey Kennett '15,Boston University,57
B,14,Rebecca Quirke '17,Connecticut College,58
B,15,Ryan Novak-Smith '17,Massachusetts Maritime Academy,65
B,16,William Herlihy '15,Sacred Heart University,69
B,17,Ryan Gershuny '18,University of New Hampshire,70
B,18,Katlyn Flynn '15,Bates College,75
B,19,Abe Kipnis '18,Wesleyan University,77
B,20,Steven Bell '16,Maine Maritime Academy,94
