Division,Placement,Skipper,Team,Total Score
A,1,Adam Siegel '15,William and Mary,22
A,2,Veronica Maccari '17,Hampton University,24
A,3,Julian Fraize '18,Stevens Institute of Technology,40
A,4,Adam DeVita '18,Columbia University,40
A,5,Dante Iozzo '16,University of Buffalo,41
A,6,Casey Firth '15,University of Virginia,50
A,7,Samuel Haksteen '17,University of Maryland/Baltimore County,53
A,8,Jeffrey Proko '18,Drexel University,61
A,9,Sarah Seski '15 *,The Catholic University of America,63
A,10,Zachary Thomas '18,University of Maryland,63
A,11,George Uehling '15,Virginia Tech,75
A,12,Alexina Beckley '17,American University,93
