Division,Placement,Skipper,Team,Total Score
B,1,Paolo Bertolotti '16,Columbia University,16
B,2,Colleen Roney '18,University of Virginia,24
B,3,Maximilian Kuester '18,Hampton University,31
B,4,Scott Guinn '15,William and Mary,36
B,5,Cem Ayanoglu '15,University of Buffalo,40
B,6,Peter Teague '18,Stevens Institute of Technology,54
B,7,Kris Rodriguez '15,Virginia Tech,60
B,8,Robert Stricek '15,Drexel University,62
B,9,Nathan Thompson '17,University of Maryland/Baltimore County,63
B,10,Derek Thompson '18,University of Maryland,72
B,11,Alexander Wade '18,American University,75
B,12,No show,The Catholic University of America,104
