Division,Placement,Skipper,Team,Total Score
A,1,Alexander Curtiss '16,St. Mary's College of Maryland,82
A,2,Nevin Snow '16,Georgetown University,85
A,3,Patrick Snow '17,U. S. Naval Academy,104
A,4,Esteban Forrer '16,Old Dominion University,111
A,5,Brendan Shanahan '17,George Washington University,112
A,6,Charles Lomax '18,U. S. Merchant Marine Academy,123
A,7,Greiner Hobbs '18,Hobart and William Smith Colleges,130
A,8,Connor Godfrey '16,Fordham University,134
A,9,Drew Gallagher '18,University of Pennsylvania,159
A,10,Kyle Comerford '19,SUNY Maritime College,161
A,11,Maximilian Kuester '18,Hampton University,170
A,12,Clark Uhl '19,Cornell University,176
A,13,Eric Siegel '16,Washington College,180
A,14,Christopher Craven '16,University of Virginia,207
A,15,Austin Powers '17,Christopher Newport University,231
A,16,Joshua Prucnal '16,University of Maryland,242
A,17,Julian Fraize '18,Stevens Institute of Technology,250
A,18,Nicholas Pardini '16,Syracuse University,254
