Division,Placement,Skipper,Team,Total Score
B,1,Jackson McCoy '19,Tufts University,10
B,2,Sam Rush '19,University of Rhode Island,14
B,3,Jake Rizika '18,Boston College,21
B,4,Matteo Alampi '17,Northeastern University,24
B,5,Bobby McLaughlin '17,Tufts University,25
B,6,Arthur Milot '19,University of Vermont,40
B,7,Kelsey Delosh '17,University of Massachusetts at Dartmouth,40
B,8,Alexie Lessing '19,Middlebury College,45
B,9,Marina Merchant '18,Johnson and Wales University,51
B,10,Madison Joslin '18,University of New Hampshire,60
