Division,Placement,Skipper,Team,Total Score
B,1,Stephan VerHulst '19,Jacksonville University,41
B,2,Sam Shannon '19,Salve Regina University,51
B,3,Mary Dahl '18,College of Charleston,54
B,4,Samuel Normington '18,Eckerd College,58
B,5,Robert Porter '19,College of Charleston,70
B,6,Alex Moreno '19,Boston University,71
B,7,Kelly Stukbauer '19,University of South Florida,76
B,8,Brendan Brown-McCue '16,SUNY Stony Brook,81
B,9,Geoffrey Calderone '18,University of Miami,99
B,10,Alexander Thompson '18,Texas A&M University at Galveston,108
B,11,Harris Cram '19,Tulane University,145
B,12,Darby Reddaway '19,Georgia Institute of Technology,155
B,13,Max Burson '16,Miami University,159
B,14,Katherine Schneeberger '17,University of Notre Dame,160
B,15,Jessica Kurlander '18,SUNY Stony Brook,169
