Division,Placement,Skipper,Team,Total Score
A,1,Casey Klingler '18,Yale University,22
A,2,Mary Kate Mezzetti '16,Georgetown University,23
A,3,Bailey Carter '19,Hobart and William Smith Colleges,26
A,4,Carolyn Smith '17,St. Mary's College of Maryland,33
A,5,Elizabeth Pemberton '18,College of Charleston,33
A,6,Hannah Polster '17,Boston University,44
A,7,Laura Wefer '16,University of Wisconsin,45
A,8,Charlotte List '18,Connecticut College,46
A,9,Megan Grapengeter-Rudnick '17,Brown University,48
A,10,Maria Sinagra '16,George Washington University,50
A,11,Adelaide Ferguson '17,Fordham University,51
A,12,Hannah Hughes '17,U. S. Naval Academy,52
A,13,Megan Yeigh '16,University of Vermont,52
A,14,Grace Mason '16,Old Dominion University,65
A,15,Taylor Ladd '18,Harvard University,66
A,16,Anna Huebschmann '18,Eckerd College,67
A,17,Janel DeCurtis '18,Roger Williams University,73
A,18,Darcy Jensen '16,University of South Florida,76
A,19,Lane Tobin '18,University of Michigan,79
