Division,Placement,Skipper,Team,Total Score
B,1,Lydia Grasberger '18,Boston University,16
B,2,Marly Isler '16,Yale University,20
B,3,Amina Brown '17,University of Vermont,29
B,4,Rose Edwards '18,Georgetown University,30
B,5,Greer Wattson '17,St. Mary's College of Maryland,37
B,6,Kate Klement '17,University of Wisconsin,43
B,7,Nikki Medley '17,College of Charleston,44
B,8,Amanda Stapp '18,Fordham University,47
B,9,Kelly Stukbauer '19,University of South Florida,47
B,10,Taylor Gavula '19,Harvard University,48
B,11,India Johnstone '18,George Washington University,50
B,12,Christine Moloney '17,Hobart and William Smith Colleges,54
B,13,Lindsey Baab '18,Brown University,59
B,14,Alexandra Maurillo '18,Connecticut College,64
B,15,Sophie Salomon '18,Eckerd College,66
B,16,Mary Robertson '17,U. S. Naval Academy,68
B,17,Olivia Windemuller '19,Old Dominion University,72
B,18,Kelsey Shakin '19,Roger Williams University,74
B,19,Alexandra Anderson '19,University of Michigan,82
