Division,Placement,Skipper,Team,Total Score
A,1,Parker Trepton '18,University of Wisconsin Milwaukee,21
A,2,Vidar Minkovsky '18,SUNY Stony Brook,34
A,3,Alex Schwinn '19,Texas A&M University at Galveston,56
A,4,Jessica Oswalt '16,Tulane University,57
A,5,John Schneider '16,University of Notre Dame,64
A,6,Hannah Noll '16,University of Wisconsin Milwaukee,69
A,7,Samuel Papert '19,Rice University,73
A,8,Bryndin Hartman '18,Texas A&M University at Galveston,116
A,9,none,Loyola University of New Orleans,119
A,10,Morgan Frakes '17,Texas A&M University,122
A,11,Mae Raab '18,University of Notre Dame,127
A,12,Aaron Comen '18,University of Texas,136
A,13,Kevin Dirksmeyer '17,Texas A&M University at Corpus Christi,159
