Division,Placement,Skipper,Team,Total Score
B,1,Jack Elkin '19,Old Dominion University,30
B,2,Luca Taglialegne '19,Hampton University,32
B,3,Olivia Windemuller '19,Old Dominion University,52
B,4,Rodman Brown '16,University of Virginia,55
B,5,Juan Lejarraga '19,SUNY Maritime College,58
B,6,Amanda Attardi '17,Christopher Newport University,58
B,7,Andrew O'Brien '19,Stevens Institute of Technology,77
B,8,Adam DeVita '18,Columbia University,89
B,9,Kate Bjerregaard '19,St. Mary's College of Maryland,98
B,10,Clark Spencer Ragsdale '19,U. S. Merchant Marine Academy,102
B,11,Olga Anna Papaeconomou '19,SUNY Maritime College,124
B,12,Barrett Adams '17,Drexel University,132
B,13,Peter Sander '17,SUNY Stony Brook,135
B,14,Danyte Reisinger '19,University of Maryland/Baltimore County,144
B,15,Jackson Dunitz '16,University of Maryland,152
B,16,Nathan Gibson '19,Virginia Tech,160
B,17,John Porterfield '17,University of Buffalo,188
B,18,No show,Indiana University of Pennsylvania,195
