Division,Placement,Skipper,Team,Total Score
A,1,Matthew Lyons '17,Bowdoin College,78
A,2,Drake Lyon '18,Boston College,81
A,3,Bryce Kopp '16,Connecticut College,86
A,4,Kendal Richardson '17,Roger Williams University,88
A,5,Joseph Paggi '16,Massachusetts Institute of Technology,95
A,6,James Moody '16,Tufts University,95
A,7,Frank Reeg '19,Massachusetts Maritime Academy,100
A,8,Amina Brown '17,University of Vermont,115
A,9,Alex Moreno '19,Boston University,117
A,10,Sam Alexander '18,Brown University,117
A,11,Patrick Isherwood '17,University of Rhode Island,119
A,12,Dylan Farrell '18,Harvard University,128
A,13,Peter Christensen '18,Northeastern University,136
A,14,Sean Beaulieu '18,Salve Regina University,154
A,15,Ryan Gershuny '18,University of New Hampshire,174
