Division,Placement,Skipper,Team,Total Score
A,1,Courtney Koos '16,Bowdoin College,49
A,2,Sarah Hermus '18,University of Rhode Island,55
A,3,Marly Isler '16,Yale University,56
A,4,Rosalind Lesh '16,Massachusetts Institute of Technology,58
A,5,Isabella Loosbrock '19,Boston College,71
A,6,MaryClaire Kiernan '17,Tufts University,73
A,7,Lindsay Doyle '18,University of Vermont,79
A,8,Lindsey Baab '18,Brown University,81
A,9,Lydia Grasberger '18,Boston University,87
A,10,Janel DeCurtis '18,Roger Williams University,88
A,11,Adelaide Ferguson '17,Fordham University,92
A,12,Shannon Killian '16,Salve Regina University,93
A,13,Taylor Ladd '18,Harvard University,95
A,14,Victoria McGruer '17,Northeastern University,101
A,15,Haley Kachmar '18,Connecticut College,139
A,16,Sophie Salomon '18,Eckerd College,141
A,17,Jessica Kurlander '18,SUNY Stony Brook,167
