Division,Placement,Skipper,Team,Total Score
B,1,Charles Rees '16,College of Charleston,13
B,2,Andrew Baird '18,University of South Florida,37
B,3,Timothy Siemers '16,Eckerd College,37
B,4,Stephan VerHulst '19,Jacksonville University,48
B,5,Samuel Armington '18,University of Florida,54
B,6,Max Thompson '19,University of Miami,78
B,7,Margaux Bacro-Duverger '17,University of South Carolina,79
B,8,Rafael Melendez '17,Florida State University,81
B,9,Darby Reddaway '19,Georgia Institute of Technology,83
B,10,Elizabeth O'Connor '17,Duke University,83
B,11,Abbie Probst '19,Clemson University,85
B,12,Mark Thompson '18,North Carolina State University,102
