Division,Placement,Skipper,Team,Total Score
A,1,Mary Dahl '18,College of Charleston,24
A,2,Timothy Siemers '16,Eckerd College,28
A,3,Daniel Lawless '17,Jacksonville University,29
A,4,Jack Famiglietti '18,University of Florida,41
A,5,Marten Kendrick '15,Georgia Institute of Technology,50
A,6,Kyle Magno '18,University of Miami,57
A,7,Alfonso Pescini '19,Duke University,60
A,8,Mark Thompson '18,North Carolina State University,71
A,9,Curtis Woodworth '17,Florida State University,75
A,10,Allison Chenard '19,University of Georgia,84
A,11,John Roberts '17,Clemson University,92
A,12,Nelson Millett '18,Rollins College,93
A,13,none,New College of Florida,105
A,14,Margaux Bacro-Duverger '17,University of South Carolina,108
A,15,Cassie Todd '16,University of North Carolina at Wilmington,121
A,16,none,Florida Institute of Technology,143
A,17,none,University of Tennessee,149
A,18,Brent DeAngelis '16,Auburn University,160
