Division,Placement,Skipper,Team,Total Score
B,1,Samuel Armington '18,University of Florida,25
B,2,Nikki Medley '17,College of Charleston,30
B,3,Samuel Normington '18,Eckerd College,33
B,4,Max Thompson '19,University of Miami,38
B,5,Stephan VerHulst '19,Jacksonville University,46
B,6,Elizabeth O'Connor '17,Duke University,50
B,7,Conner Killham '18,Georgia Institute of Technology,52
B,8,Travis Tucker '19,North Carolina State University,66
B,9,Mackey Leventis '19,University of South Carolina,86
B,10,Kailey Savacool '16,University of North Carolina at Wilmington,88
B,11,Abbie Probst '19,Clemson University,90
B,12,Chad Murray '17,Rollins College,90
B,13,Rafael Melendez '17,Florida State University,111
B,14,none,Florida Institute of Technology,116
B,15,Timothy DeWitt '17,University of Georgia,134
B,16,none,University of Tennessee,135
B,17,none,New College of Florida,145
B,18,Edward Martin '16,Auburn University,162
