Division,Placement,Skipper,Team,Total Score
A,1,Daniel Lawless '17,Jacksonville University,12
A,2,Michael Sanandajian '18,University of South Florida,15
A,3,Peter Steo '19,Jacksonville University,17
A,4,Samuel Peirson '17,Eckerd College,20
A,5,Stephan VerHulst '19,Jacksonville University,21
A,6,Anna Huebschmann '18,Eckerd College,21
A,7,Rafael Melendez '17,Florida State University,23
A,8,Aaron Burnett '19,University of Florida,27
A,9,Giancarlo Falconi '16,University of Miami,28
A,10,No show,Florida State University,37
A,11,Benjamin Kaminsky '17,University of Miami,43
A,12,No show,Rollins College,52
