Division,Placement,Skipper,Team,Total Score
A,1,Martim Anderson '18,Roger Williams University,98
A,2,Rachel Bryer '17,University of Rhode Island,102
A,3,Chase Quinn '17,St. Mary's College of Maryland,107
A,4,Avery Fanning '16,U. S. Coast Guard Academy,111
A,5,Joseph Kiss '17,Yale University,113
A,6,Andrew Mollerus '16,Harvard University,118
A,7,Greiner Hobbs '18,Hobart and William Smith Colleges,130
A,8,Augie Dale '18,Old Dominion University,131
A,9,Connor Astwood '16,Boston University,132
A,10,Trevor Long '19,Massachusetts Institute of Technology,142
A,11,John Rolander '17,Tufts University,142
A,12,Will La Dow '18,Stanford University,154
A,13,Timothy Siemers '16,Eckerd College,174
A,14,Andrew Sheerin '19,George Washington University,174
A,15,Jack McGuire '17,Bowdoin College,180
A,16,Charlotte List '18,Connecticut College,208
A,17,John Nothacker '16,SUNY Maritime College,234
