Division,Placement,Skipper,Team,Total Score
B,1,Nicholas Baird '19,Yale University,79
B,2,Alexander Stewart '17,Massachusetts Institute of Technology,94
B,3,Marek Zaleski '16,Harvard University,97
B,4,Stewart Draheim '16,Roger Williams University,101
B,5,Nikole Barnes '17,U. S. Coast Guard Academy,120
B,6,Ravi Parent '18,Boston University,124
B,7,Scott Barbano '17,Tufts University,129
B,8,Kyle Burgess '17,St. Mary's College of Maryland,133
B,9,William Hawk '18,Bowdoin College,151
B,10,Andrew Schoene '18,Eckerd College,154
B,11,Matthew Coughlin '16,University of Rhode Island,156
B,12,Alexandra Maurillo '18,Connecticut College,159
B,13,Reinier Eenkema Van Dijk '17,Stanford University,162
B,14,Jeremy Herrin '18,Old Dominion University,186
B,15,Connor Swikart '18,Hobart and William Smith Colleges,191
B,16,Sam White '18,George Washington University,201
B,17,John Lawless '19,SUNY Maritime College,213
